community_note,created_at,edits_remaining,favorite_count,full_text,has_card,has_community_notes,hashtags,id,in_reply_to,is_quote_status,is_translatable,lang,media,place,poll,possibly_sensitive,quote,quote_count,reply_count,retweet_count,retweeted_tweet,thumbnail_title,thumbnail_url,urls,user,view_count,view_count_state
None,Mon Sep 30 18:15:55 +0000 2024,5,30275,Retweet widely Africa is talented https://t.co/o423Vka9VY,False,None,,1840817869581361397,None,False,False,en,https://pbs.twimg.com/media/GYvmFJWXEAA3jCe.jpg,None,None,False,None,158,386,6406,None,None,None,None,1378824930624745480,800043,EnabledWithCount
None,Mon Sep 30 15:44:42 +0000 2024,5,1543,Police have unleashed tear gas on peaceful citizens simply demanding answers about Morara's abduction. This blatant abuse of power. Where are the answers? How long will they keep silencing the truth with violence? #freemorara https://t.co/pmG0OHB1Wi,False,None,freemorara,1840779814971535613,None,False,False,en,https://pbs.twimg.com/amplify_video_thumb/1840779732046028800/img/Zt80jtIa5T1mYURf.jpg,None,None,False,None,44,63,1186,None,None,None,None,1681345493438275584,67294,EnabledWithCount
None,Wed Oct 02 16:28:16 +0000 2024,5,9684,Chelsea support in Africa is like a religion. It's different level. https://t.co/EaJclFBryy,False,None,,1841515555246813500,None,False,False,en,https://pbs.twimg.com/media/GY5go0MXoAEZpm7.jpg,None,None,False,None,40,308,956,None,None,None,None,317750296,176997,EnabledWithCount
None,Tue Oct 01 18:13:50 +0000 2024,5,236,"-Kenya,Africa,the whole world stand with Israel,Tel Aviv.

-I stand with Israel #Israel .
-World War 3 https://t.co/BMpuHFfQlL",False,None,Israel,1841179732752392442,None,False,False,en,https://pbs.twimg.com/media/GY0vNOQXkAQrG0f.jpg,None,None,False,None,30,259,29,None,None,None,None,2535137426,47124,EnabledWithCount
None,Tue Oct 01 18:14:18 +0000 2024,5,486,"I'm speaking on behalf of South Africans.

Dear President Cyril Ramaphosa, Please take South Africa out of BRICS or send the SANDF to fight alongside the IDF!

https://t.co/70HRYp3GDd",False,None,,1841179850100383929,None,False,False,en,https://pbs.twimg.com/amplify_video_thumb/1841163719633469446/img/nn8CvQxxLKR0uWF_.jpg,None,None,False,None,28,294,52,None,None,None,None,2198470996,55480,EnabledWithCount
None,Wed Oct 02 07:51:10 +0000 2024,5,118,She has united Africa and the whole world https://t.co/0mR3cD1LkL,False,None,,1841385422187807129,None,False,False,en,https://pbs.twimg.com/media/GY3qRzLWwAA-E90.jpg,None,None,False,None,0,112,1,None,None,None,None,1555923577660211200,1889,EnabledWithCount
None,Fri Sep 27 18:48:27 +0000 2024,5,11461,"In Africa, we don't send our African elders to old age homes, they stay at home so that they pass intergenerational wisdom

Your comments on this https://t.co/eXU6J8VoCG",False,None,,1839738893496643899,None,False,False,en,https://pbs.twimg.com/media/GYgQrISWAAAbWVU.jpg,None,None,False,None,65,430,1640,None,None,None,None,1536268354830360576,237345,EnabledWithCount
None,Fri Sep 27 08:03:05 +0000 2024,5,85,"I have asked this question before, I want to ask again, for the very last time what is the real name of this bag? https://t.co/eIM7c9HsED",False,None,,1839576479887159383,None,False,False,en,"https://pbs.twimg.com/media/GYd9DqOWIAA3n5U.jpg,https://pbs.twimg.com/media/GYd9DqNW8AAq_vG.jpg",None,None,False,None,5,49,21,None,None,None,None,2450068830,7823,EnabledWithCount
None,Tue Oct 01 09:37:01 +0000 2024,5,4532,Happy Independence Day Nigeria. https://t.co/HwoCpiX8Rh,False,None,,1841049671973638550,None,False,False,en,"https://pbs.twimg.com/media/GYy46oTXAAkycC0.jpg,https://pbs.twimg.com/media/GYy46rLXsAAZnCv.png",None,None,False,None,17,272,444,None,None,None,None,129009730,168573,EnabledWithCount
None,Sun Sep 29 18:34:18 +0000 2024,5,1842,"Did you know that South Africa has 71 Ports of entry.. 52 which are land borders, 10 international airports and nine sea ports....Don't be misled... The ports of entry are across all nine provinces. https://t.co/s2q030DPVN",False,None,,1840460108649910530,None,False,False,en,https://pbs.twimg.com/media/GYqgtv1WIAAZQbi.jpg,None,None,False,None,17,94,693,None,None,None,None,1706993008342597632,184998,EnabledWithCount
None,Thu Sep 26 12:44:23 +0000 2024,5,18601,The cost of engaging in violent criminal activities in South Africa is to have the top of your skull cap blown off and your brains ending up on the back seat. https://t.co/HEglO5fD23,False,None,,1839284885053125004,None,False,False,en,"https://pbs.twimg.com/media/GYZz2nPaMAUDLMg.jpg,https://pbs.twimg.com/media/GYZz2rlaEAACoN7.jpg,https://pbs.twimg.com/media/GYZz2sLaAAAaYTs.jpg,https://pbs.twimg.com/media/GYZz2o2aMAo5ocU.jpg",None,None,False,None,207,885,1995,None,None,None,None,1489956224179261446,2539633,EnabledWithCount
None,Sat Sep 28 18:54:32 +0000 2024,5,3104,"Nishant Mishra P.A to Jayesh Saini is a director at SIH Africa which owns Apiero the company in the SHIF system 104M scam, he also works for Bliss Healthcare and Afrigreen automobile. Remember the mysterious buyer of Mobius? It was Afrigreen auto owned by this same cabal. https://t.co/QTaPktxGvs",False,None,,1840102812186808389,None,True,False,en,"https://pbs.twimg.com/media/GYlbwQoWgAAiNlm.jpg,https://pbs.twimg.com/media/GYlbwQqXgAAjhiO.jpg,https://pbs.twimg.com/media/GYlbwQoXUAAcNWS.jpg",None,None,False,1820763219541000380,41,146,2514,None,None,None,None,2723825049,99219,EnabledWithCount
None,Sun Sep 08 18:43:26 +0000 2024,5,109470,What are your thoughts on this Xhosa culture from South Africa https://t.co/xIfMujjulG,False,None,,1832852260813939163,None,False,False,en,https://pbs.twimg.com/ext_tw_video_thumb/1832851984426184704/pu/img/4wETTvXY2nUCAKAe.jpg,None,None,False,None,723,3161,5926,None,None,None,None,1536268354830360576,15132792,EnabledWithCount
None,Sun Sep 29 11:22:36 +0000 2024,5,1500,Mlichocha huyu dem sana ati she is the most beautiful girl in the East Africa. Aliendaga wapi ? https://t.co/ktvrgvCZX8,False,None,,1840351468982854038,None,False,False,en,https://pbs.twimg.com/media/GYo96ECbQAAigrB.jpg,None,None,False,None,2,175,136,None,None,None,None,1507711811436568576,78331,EnabledWithCount
